true_file_type,declared_extension,label,label_name,is_malicious,category,corruption_type
TIFF_BE,.tiff,1,corrupted,False,image,wrong_offset_4_instead_of_0
WAV,.wav,1,corrupted,False,audio,byte_flip_pos_2
HTML,.html,0,valid,False,web,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
HTML_TAG,.html,0,valid,False,web,none
UNKNOWN,.docx,2,mismatch,False,unknown,random_bytes_unknown
RAR5,.rar,1,corrupted,False,archive,byte_flip_pos_4
CLASS,.class,1,corrupted,False,executable,wrong_offset_4_instead_of_0
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
PDF,.pdf,1,corrupted,False,document,wrong_offset_4_instead_of_0
CLASS,.class,0,valid,False,executable,none
GZIP,.gz,1,corrupted,False,archive,wrong_offset_4_instead_of_0
RAR,.rar,0,valid,False,archive,none
TAR,.tar,0,valid,False,archive,none
TAR,.tar,1,corrupted,False,archive,truncated_header_keep_2
HTML,.html,0,valid,False,web,none
UNKNOWN,.zip,2,mismatch,False,unknown,random_bytes_unknown
CLASS,.class,1,corrupted,False,executable,truncated_header_keep_1
WAV,.wav,0,valid,False,audio,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
TAR,.tar,0,valid,False,archive,none
HTML_TAG,.html,1,corrupted,False,web,wrong_offset_4_instead_of_0
MP4,.mp4,0,valid,False,video,none
OGG,.ogg,0,valid,False,audio,none
WAV,.wav,0,valid,False,audio,none
XML,.xml,1,corrupted,False,web,byte_flip_pos_3
UNKNOWN,.jpg,2,mismatch,False,unknown,random_bytes_unknown
HTML_TAG,.html,0,valid,False,web,none
CLASS,.class,1,corrupted,False,executable,byte_flip_pos_3
TIFF_BE,.tiff,0,valid,False,image,none
XML,.xml,1,corrupted,False,web,truncated_header_keep_2
HTML,.html,1,corrupted,False,web,wrong_offset_4_instead_of_0
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
ELF,.elf,1,corrupted,False,executable,byte_flip_pos_0
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
TIFF,.tiff,0,valid,False,image,none
FLAC,.flac,0,valid,False,audio,none
TIFF,.tiff,1,corrupted,False,image,partial_overwrite_4_null
TIFF,.tiff,0,valid,False,image,none
ELF,.elf,0,valid,False,executable,none
XML,.xml,0,valid,False,web,none
7Z,.7z,0,valid,False,archive,none
PE,.exe,1,corrupted,False,executable,byte_flip_pos_0
GZIP,.gz,1,corrupted,False,archive,wrong_offset_4_instead_of_0
CLASS,.class,1,corrupted,False,executable,partial_overwrite_4_null
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
RAR,.rar,0,valid,False,archive,none
7Z,.7z,1,corrupted,False,archive,wrong_offset_4_instead_of_0
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
WAV,.wav,1,corrupted,False,audio,wrong_offset_4_instead_of_0
MP4,.mp4,1,corrupted,False,video,truncated_header_keep_2
RAR5,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
MP3,.mp3,1,corrupted,False,audio,byte_flip_pos_0
MP4,.mp4,0,valid,False,video,none
FLAC,.flac,1,corrupted,False,audio,byte_flip_pos_3
ELF,.elf,0,valid,False,executable,none
RAR5,.rar,0,valid,False,archive,none
GIF,.gif,1,corrupted,False,image,truncated_header_keep_2
SQLITE,.sqlite,0,valid,False,database,none
XML,.xml,0,valid,False,web,none
JPG,.jpg,0,valid,False,image,none
HTML_TAG,.html,0,valid,False,web,none
MP3_ID3,.mp3,0,valid,False,audio,none
BZIP2,.bz2,1,corrupted,False,archive,byte_flip_pos_0
HTML,.html,0,valid,False,web,none
PNG,.png,0,valid,False,image,none
AVI,.avi,1,corrupted,False,video,wrong_offset_4_instead_of_0
TIFF,.tiff,0,valid,False,image,none
MP3,.mp3,1,corrupted,False,audio,byte_flip_pos_1
TIFF,.tiff,0,valid,False,image,none
GZIP,.gz,0,valid,False,archive,none
JPG,.jpg,1,corrupted,False,image,byte_flip_pos_2
TIFF,.tiff,0,valid,False,image,none
GIF,.gif,0,valid,False,image,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
ZIP,.zip,0,valid,False,archive,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
7Z,.7z,1,corrupted,False,archive,byte_flip_pos_5
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
JPG,.jpg,0,valid,False,image,none
XLSX,.xlsx,1,corrupted,False,document,byte_flip_pos_1
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
MP4,.mp4,1,corrupted,False,video,wrong_offset_0_instead_of_4
PPTX,.pptx,1,corrupted,False,document,wrong_offset_4_instead_of_0
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
AVI,.avi,1,corrupted,False,video,partial_overwrite_4_null
PNG,.png,0,valid,False,image,none
MP3_ID3,.mp3,1,corrupted,False,audio,wrong_offset_4_instead_of_0
PPTX,.pptx,1,corrupted,False,document,byte_flip_pos_0
AVI,.avi,1,corrupted,False,video,truncated_header_keep_1
MP4,.mp4,1,corrupted,False,video,partial_overwrite_4_null
SQLITE,.sqlite,0,valid,False,database,none
JPG,.jpg,1,corrupted,False,image,partial_overwrite_4_null
TIFF_BE,.tiff,0,valid,False,image,none
EXE,.exe,0,valid,False,executable,none
TAR,.tar,1,corrupted,False,archive,truncated_header_keep_1
TIFF_BE,.tiff,1,corrupted,False,image,wrong_offset_4_instead_of_0
CLASS,.class,0,valid,False,executable,none
TAR,.tar,0,valid,False,archive,none
RAR5,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
BZIP2,.bz2,0,valid,False,archive,none
ZIP,.zip,0,valid,False,archive,none
CLASS,.class,0,valid,False,executable,none
PE,.exe,0,valid,False,executable,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
XML,.xml,1,corrupted,False,web,truncated_header_keep_1
BZIP2,.bz2,1,corrupted,False,archive,wrong_offset_4_instead_of_0
TAR,.tar,1,corrupted,False,archive,wrong_offset_4_instead_of_257
TIFF,.tiff,1,corrupted,False,image,partial_overwrite_4_null
PDF,.pdf,0,valid,False,document,none
PE,.exe,1,corrupted,False,executable,wrong_offset_4_instead_of_0
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
AVI,.avi,0,valid,False,video,none
UNKNOWN,.zip,2,mismatch,False,unknown,random_bytes_unknown
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
XML,.xml,0,valid,False,web,none
DOCX,.docx,1,corrupted,False,document,partial_overwrite_4_null
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
BMP,.bmp,0,valid,False,image,none
HTML_TAG,.html,0,valid,False,web,none
UNKNOWN,.jpg,2,mismatch,False,unknown,random_bytes_unknown
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
CLASS,.class,1,corrupted,False,executable,partial_overwrite_4_null
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
OGG,.ogg,1,corrupted,False,audio,truncated_header_keep_1
GZIP,.gz,0,valid,False,archive,none
BZIP2,.bz2,1,corrupted,False,archive,truncated_header_keep_1
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
PE,.exe,0,valid,False,executable,none
HTML,.html,1,corrupted,False,web,truncated_header_keep_1
MP3,.mp3,0,valid,False,audio,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
UNKNOWN,.docx,2,mismatch,False,unknown,random_bytes_unknown
RAR5,.rar,0,valid,False,archive,none
RAR,.rar,0,valid,False,archive,none
JPEG,.jpeg,1,corrupted,False,image,byte_flip_pos_3
GIF,.gif,0,valid,False,image,none
UNKNOWN,.exe,2,mismatch,False,unknown,random_bytes_unknown
PPTX,.pptx,1,corrupted,False,document,partial_overwrite_4_null
TIFF_BE,.tiff,1,corrupted,False,image,truncated_header_keep_2
PPTX,.pptx,0,valid,False,document,none
PDF,.pdf,1,corrupted,False,document,truncated_header_keep_2
XML,.xml,1,corrupted,False,web,partial_overwrite_4_null
EXE,.exe,0,valid,False,executable,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
MP3_ID3,.mp3,1,corrupted,False,audio,wrong_offset_4_instead_of_0
TIFF_BE,.tiff,0,valid,False,image,none
TIFF_BE,.tiff,0,valid,False,image,none
BZIP2,.bz2,1,corrupted,False,archive,byte_flip_pos_0
7Z,.7z,1,corrupted,False,archive,truncated_header_keep_2
PNG,.png,0,valid,False,image,none
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
XLSX,.xlsx,0,valid,False,document,none
PNG,.png,1,corrupted,False,image,byte_flip_pos_5
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
JPG,.jpg,0,valid,False,image,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
GZIP,.gz,0,valid,False,archive,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
TIFF_BE,.tiff,1,corrupted,False,image,byte_flip_pos_0
RAR,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
AVI,.avi,0,valid,False,video,none
XML,.xml,0,valid,False,web,none
AVI,.avi,0,valid,False,video,none
EXE,.exe,1,corrupted,False,executable,partial_overwrite_4_null
PNG,.png,0,valid,False,image,none
HTML,.html,1,corrupted,False,web,partial_overwrite_4_null
TAR,.tar,1,corrupted,False,archive,truncated_header_keep_1
RAR,.rar,1,corrupted,False,archive,byte_flip_pos_3
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
XML,.xml,0,valid,False,web,none
PDF,.pdf,0,valid,False,document,none
DOCX,.docx,0,valid,False,document,none
AVI,.avi,0,valid,False,video,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
XLSX,.xlsx,0,valid,False,document,none
MP3,.mp3,1,corrupted,False,audio,wrong_offset_4_instead_of_0
WEBP,.webp,1,corrupted,False,image,wrong_offset_4_instead_of_0
WAV,.wav,1,corrupted,False,audio,truncated_header_keep_2
DOCX,.docx,1,corrupted,False,document,wrong_offset_4_instead_of_0
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
RAR,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
TIFF_BE,.tiff,1,corrupted,False,image,wrong_offset_4_instead_of_0
GIF,.gif,0,valid,False,image,none
7Z,.7z,1,corrupted,False,archive,partial_overwrite_4_null
ZIP,.zip,1,corrupted,False,archive,truncated_header_keep_2
EXE,.exe,0,valid,False,executable,none
OGG,.ogg,1,corrupted,False,audio,truncated_header_keep_2
HTML_TAG,.html,0,valid,False,web,none
RAR5,.rar,1,corrupted,False,archive,truncated_header_keep_1
TIFF,.tiff,1,corrupted,False,image,wrong_offset_4_instead_of_0
DOCX,.docx,1,corrupted,False,document,byte_flip_pos_3
BMP,.bmp,1,corrupted,False,image,truncated_header_keep_1
PE,.exe,0,valid,False,executable,none
TIFF,.tiff,1,corrupted,False,image,byte_flip_pos_3
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
HTML,.html,0,valid,False,web,none
OGG,.ogg,1,corrupted,False,audio,partial_overwrite_4_null
PNG,.png,0,valid,False,image,none
JPEG,.jpeg,1,corrupted,False,image,wrong_offset_4_instead_of_0
EXE,.exe,1,corrupted,False,executable,wrong_offset_4_instead_of_0
ELF,.elf,0,valid,False,executable,none
MP3,.mp3,0,valid,False,audio,none
BZIP2,.bz2,0,valid,False,archive,none
RAR,.rar,1,corrupted,False,archive,partial_overwrite_4_null
BMP,.bmp,1,corrupted,False,image,partial_overwrite_4_null
TAR,.tar,1,corrupted,False,archive,partial_overwrite_4_null
WEBP,.webp,1,corrupted,False,image,byte_flip_pos_2
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
WEBP,.webp,0,valid,False,image,none
BZIP2,.bz2,0,valid,False,archive,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
ZIP,.zip,0,valid,False,archive,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
PE,.exe,1,corrupted,False,executable,partial_overwrite_4_null
TIFF_BE,.tiff,1,corrupted,False,image,byte_flip_pos_0
RAR,.rar,0,valid,False,archive,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
XLSX,.xlsx,0,valid,False,document,none
PE,.exe,0,valid,False,executable,none
SQLITE,.sqlite,0,valid,False,database,none
XML,.xml,1,corrupted,False,web,truncated_header_keep_1
TIFF_BE,.tiff,0,valid,False,image,none
MP4,.mp4,0,valid,False,video,none
PE,.exe,1,corrupted,False,executable,truncated_header_keep_1
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
XML,.xml,0,valid,False,web,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
BZIP2,.bz2,0,valid,False,archive,none
WAV,.wav,0,valid,False,audio,none
HTML_TAG,.html,0,valid,False,web,none
TIFF,.tiff,0,valid,False,image,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
PDF,.pdf,0,valid,False,document,none
XLSX,.xlsx,0,valid,False,document,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
7Z,.7z,1,corrupted,False,archive,byte_flip_pos_5
ZIP,.zip,1,corrupted,False,archive,partial_overwrite_4_null
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
7Z,.7z,1,corrupted,False,archive,partial_overwrite_4_null
OGG,.ogg,1,corrupted,False,audio,byte_flip_pos_3
DOCX,.docx,1,corrupted,False,document,wrong_offset_4_instead_of_0
7Z,.7z,0,valid,False,archive,none
PPTX,.pptx,0,valid,False,document,none
BZIP2,.bz2,0,valid,False,archive,none
MP3_ID3,.mp3,0,valid,False,audio,none
JPG,.jpg,0,valid,False,image,none
PE,.exe,0,valid,False,executable,none
ZIP,.zip,0,valid,False,archive,none
XLSX,.xlsx,0,valid,False,document,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
AVI,.avi,0,valid,False,video,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
XLSX,.xlsx,1,corrupted,False,document,partial_overwrite_4_null
PDF,.pdf,1,corrupted,False,document,wrong_offset_4_instead_of_0
JPG,.jpg,1,corrupted,False,image,partial_overwrite_4_null
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
XLSX,.xlsx,0,valid,False,document,none
BMP,.bmp,1,corrupted,False,image,byte_flip_pos_1
TAR,.tar,1,corrupted,False,archive,partial_overwrite_4_null
PPTX,.pptx,1,corrupted,False,document,wrong_offset_4_instead_of_0
RAR,.rar,0,valid,False,archive,none
BMP,.bmp,1,corrupted,False,image,partial_overwrite_4_null
MP3,.mp3,0,valid,False,audio,none
SQLITE,.sqlite,0,valid,False,database,none
JPEG,.jpeg,0,valid,False,image,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
HTML_TAG,.html,0,valid,False,web,none
TAR,.tar,0,valid,False,archive,none
ELF,.elf,0,valid,False,executable,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
XML,.xml,0,valid,False,web,none
OGG,.ogg,1,corrupted,False,audio,truncated_header_keep_1
CLASS,.class,0,valid,False,executable,none
WEBP,.webp,0,valid,False,image,none
XML,.xml,0,valid,False,web,none
SQLITE,.sqlite,0,valid,False,database,none
BMP,.bmp,0,valid,False,image,none
WEBP,.webp,1,corrupted,False,image,wrong_offset_4_instead_of_0
JPEG,.jpeg,1,corrupted,False,image,partial_overwrite_4_null
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
EXE,.exe,0,valid,False,executable,none
MP4,.mp4,1,corrupted,False,video,byte_flip_pos_1
RAR,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
TIFF,.tiff,0,valid,False,image,none
PNG,.png,0,valid,False,image,none
TIFF,.tiff,0,valid,False,image,none
JPEG,.jpeg,0,valid,False,image,none
RAR,.rar,1,corrupted,False,archive,wrong_offset_4_instead_of_0
CLASS,.class,0,valid,False,executable,none
HTML,.html,1,corrupted,False,web,byte_flip_pos_2
AVI,.avi,1,corrupted,False,video,truncated_header_keep_2
TIFF_BE,.tiff,0,valid,False,image,none
XML,.xml,1,corrupted,False,web,partial_overwrite_4_null
BMP,.bmp,1,corrupted,False,image,byte_flip_pos_0
TIFF_BE,.tiff,1,corrupted,False,image,byte_flip_pos_3
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
DOCX,.docx,0,valid,False,document,none
ZIP,.zip,1,corrupted,False,archive,byte_flip_pos_2
RAR,.rar,0,valid,False,archive,none
RAR,.rar,0,valid,False,archive,none
WEBP,.webp,0,valid,False,image,none
RAR5,.rar,1,corrupted,False,archive,truncated_header_keep_1
TIFF_BE,.tiff,0,valid,False,image,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
MP4,.mp4,0,valid,False,video,none
ZIP,.zip,0,valid,False,archive,none
PDF,.pdf,0,valid,False,document,none
HTML,.html,1,corrupted,False,web,wrong_offset_4_instead_of_0
WAV,.wav,0,valid,False,audio,none
SQLITE,.sqlite,1,corrupted,False,database,truncated_header_keep_2
FLAC,.flac,0,valid,False,audio,none
WAV,.wav,1,corrupted,False,audio,wrong_offset_4_instead_of_0
XML,.xml,1,corrupted,False,web,byte_flip_pos_1
XML,.xml,0,valid,False,web,none
GIF,.gif,0,valid,False,image,none
MP4,.mp4,1,corrupted,False,video,wrong_offset_0_instead_of_4
SQLITE,.sqlite,1,corrupted,False,database,byte_flip_pos_15
TAR,.tar,0,valid,False,archive,none
PE,.exe,1,corrupted,False,executable,partial_overwrite_4_null
BZIP2,.bz2,0,valid,False,archive,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
CLASS,.class,0,valid,False,executable,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
JPEG,.jpeg,1,corrupted,False,image,truncated_header_keep_1
GIF,.gif,1,corrupted,False,image,partial_overwrite_4_null
JPEG,.jpeg,1,corrupted,False,image,wrong_offset_4_instead_of_0
TAR,.tar,0,valid,False,archive,none
PDF,.pdf,0,valid,False,document,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
EXE,.exe,1,corrupted,False,executable,truncated_header_keep_2
TIFF_BE,.tiff,0,valid,False,image,none
PPTX,.pptx,1,corrupted,False,document,byte_flip_pos_1
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
UNKNOWN,.pdf,2,mismatch,False,unknown,random_bytes_unknown
BZIP2,.bz2,1,corrupted,False,archive,wrong_offset_4_instead_of_0
XML,.xml,0,valid,False,web,none
PE,.exe,0,valid,False,executable,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
EXE,.exe,1,corrupted,False,executable,wrong_offset_4_instead_of_0
BMP,.bmp,0,valid,False,image,none
PPTX,.pptx,0,valid,False,document,none
ZIP,.zip,0,valid,False,archive,none
PPTX,.pptx,0,valid,False,document,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
CLASS,.class,1,corrupted,False,executable,truncated_header_keep_1
PNG,.png,1,corrupted,False,image,byte_flip_pos_3
XLSX,.xlsx,1,corrupted,False,document,byte_flip_pos_3
WAV,.wav,1,corrupted,False,audio,wrong_offset_4_instead_of_0
XML,.xml,1,corrupted,False,web,truncated_header_keep_1
ZIP,.zip,1,corrupted,False,archive,truncated_header_keep_1
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
WEBP,.webp,0,valid,False,image,none
GZIP,.gz,0,valid,False,archive,none
ELF,.elf,1,corrupted,False,executable,wrong_offset_4_instead_of_0
RAR,.rar,1,corrupted,False,archive,truncated_header_keep_1
SQLITE,.sqlite,0,valid,False,database,none
HTML_TAG,.html,0,valid,False,web,none
ELF,.elf,0,valid,False,executable,none
ZIP,.zip,1,corrupted,False,archive,partial_overwrite_4_null
PNG,.png,0,valid,False,image,none
RAR,.rar,0,valid,False,archive,none
HTML_TAG,.html,0,valid,False,web,none
XLSX,.xlsx,0,valid,False,document,none
PPTX,.pptx,0,valid,False,document,none
CLASS,.class,0,valid,False,executable,none
TIFF_BE,.tiff,0,valid,False,image,none
GIF,.gif,1,corrupted,False,image,wrong_offset_4_instead_of_0
OGG,.ogg,0,valid,False,audio,none
OGG,.ogg,0,valid,False,audio,none
TIFF,.tiff,1,corrupted,False,image,byte_flip_pos_3
MP3,.mp3,0,valid,False,audio,none
PPTX,.pptx,1,corrupted,False,document,partial_overwrite_4_null
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
GZIP,.gz,0,valid,False,archive,none
HTML_TAG,.html,1,corrupted,False,web,byte_flip_pos_0
BZIP2,.bz2,1,corrupted,False,archive,truncated_header_keep_2
BMP,.bmp,1,corrupted,False,image,byte_flip_pos_0
ELF,.elf,1,corrupted,False,executable,byte_flip_pos_1
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
WEBP,.webp,0,valid,False,image,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
MP4,.mp4,1,corrupted,False,video,truncated_header_keep_1
PE,.exe,1,corrupted,False,executable,byte_flip_pos_0
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
JPEG,.jpeg,1,corrupted,False,image,partial_overwrite_4_null
WAV,.wav,0,valid,False,audio,none
MP4,.mp4,1,corrupted,False,video,wrong_offset_0_instead_of_4
ZIP,.zip,0,valid,False,archive,none
ZIP,.zip,0,valid,False,archive,none
EXE,.jpg,2,mismatch,True,executable,exe_disguised_as_jpg
WAV,.wav,1,corrupted,False,audio,byte_flip_pos_3
XML,.xml,1,corrupted,False,web,truncated_header_keep_1
JPEG,.jpeg,1,corrupted,False,image,byte_flip_pos_1
7Z,.7z,1,corrupted,False,archive,byte_flip_pos_2
EXE,.exe,0,valid,False,executable,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
GZIP,.gz,1,corrupted,False,archive,wrong_offset_4_instead_of_0
UNKNOWN,.mp3,2,mismatch,False,unknown,random_bytes_unknown
MP3_ID3,.mp3,1,corrupted,False,audio,truncated_header_keep_1
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
SQLITE,.sqlite,1,corrupted,False,database,truncated_header_keep_1
PE,.exe,1,corrupted,False,executable,truncated_header_keep_1
DOCX,.docx,0,valid,False,document,none
MP4,.mp4,0,valid,False,video,none
